names,times,abundances,date
anc,1,15,2020-03-01
anc,2,139,2020-03-08
anc,3,160,2020-03-15
B.1.332_S13X_9,3,2,2020-03-15
anc,4,167,2020-03-22
B.1.332_S13X_9,4,0,2020-03-22
anc,5,102,2020-03-29
B.1.332_S13X_9,5,0,2020-03-29
anc,6,62,2020-04-05
B.1.332_S13X_9,6,0,2020-04-05
anc,7,37,2020-04-12
B.1.332_S13X_9,7,0,2020-04-12
anc,8,29,2020-04-19
B.1.332_S13X_9,8,0,2020-04-19
anc,9,16,2020-04-26
B.1.332_S13X_9,9,0,2020-04-26
anc,10,15,2020-05-03
B.1.332_S13X_9,10,0,2020-05-03
anc,11,4,2020-05-10
B.1.332_S13X_9,11,0,2020-05-10
anc,12,1,2020-05-17
B.1.332_S13X_9,12,0,2020-05-17
anc,13,1,2020-05-24
B.1.332_S13X_9,13,0,2020-05-24
anc,14,1,2020-05-31
B.1.332_S13X_9,14,0,2020-05-31
anc,15,1,2020-06-07
B.1.332_S13X_9,15,0,2020-06-07
anc,16,1,2020-06-14
B.1.332_S13X_9,16,0,2020-06-14
anc,17,1,2020-06-21
B.1.332_S13X_9,17,0,2020-06-21
anc,18,1,2020-06-28
B.1.332_S13X_9,18,0,2020-06-28
anc,19,2,2020-07-05
B.1.332_S13X_9,19,0,2020-07-05
anc,20,2,2020-07-12
B.1.332_S13X_9,20,0,2020-07-12
anc,21,1,2020-07-19
B.1.332_S13X_9,21,0,2020-07-19
anc,22,1,2020-07-26
B.1.332_S13X_9,22,0,2020-07-26
anc,23,1,2020-08-02
B.1.332_S13X_9,23,0,2020-08-02
anc,24,2,2020-08-09
B.1.332_S13X_9,24,0,2020-08-09
anc,25,3,2020-08-16
B.1.332_S13X_9,25,0,2020-08-16
anc,26,7,2020-08-23
B.1.332_S13X_9,26,0,2020-08-23
anc,27,4,2020-08-30
B.1.332_S13X_9,27,0,2020-08-30
anc,28,6,2020-09-06
B.1.332_S13X_9,28,0,2020-09-06
anc,29,10,2020-09-13
B.1.332_S13X_9,29,0,2020-09-13
anc,30,7,2020-09-20
B.1.332_S13X_9,30,0,2020-09-20
anc,31,40,2020-09-27
B.1.332_S13X_9,31,0,2020-09-27
B.1.2_T205I_10,31,2,2020-09-27
B.1.361_S13X_10,31,2,2020-09-27
B.1.110.3_K484E_3,31,2,2020-09-27
anc,32,20,2020-10-04
B.1.332_S13X_9,32,0,2020-10-04
B.1.2_T205I_10,32,1,2020-10-04
B.1.361_S13X_10,32,0,2020-10-04
B.1.110.3_K484E_3,32,1,2020-10-04
B.1.517_N501T_3,32,2,2020-10-04
B.1.433_T205I_12,32,2,2020-10-04
anc,33,16,2020-10-11
B.1.332_S13X_9,33,0,2020-10-11
B.1.2_T205I_10,33,1,2020-10-11
B.1.361_S13X_10,33,0,2020-10-11
B.1.110.3_K484E_3,33,1,2020-10-11
B.1.517_N501T_3,33,2,2020-10-11
B.1.433_T205I_12,33,1,2020-10-11
2lin_T205I_1,33,2,2020-10-11
B.1.1.70_S13X_7,33,2,2020-10-11
B.1.351_T205I_8,33,2,2020-10-11
anc,34,10,2020-10-18
B.1.332_S13X_9,34,0,2020-10-18
B.1.2_T205I_10,34,1,2020-10-18
B.1.361_S13X_10,34,0,2020-10-18
B.1.110.3_K484E_3,34,1,2020-10-18
B.1.517_N501T_3,34,1,2020-10-18
B.1.433_T205I_12,34,1,2020-10-18
2lin_T205I_1,34,1,2020-10-18
B.1.1.70_S13X_7,34,0,2020-10-18
B.1.351_T205I_8,34,1,2020-10-18
anc,35,43,2020-10-25
B.1.332_S13X_9,35,0,2020-10-25
B.1.2_T205I_10,35,1,2020-10-25
B.1.361_S13X_10,35,0,2020-10-25
B.1.110.3_K484E_3,35,2,2020-10-25
B.1.517_N501T_3,35,1,2020-10-25
B.1.433_T205I_12,35,1,2020-10-25
2lin_T205I_1,35,1,2020-10-25
B.1.1.70_S13X_7,35,0,2020-10-25
B.1.351_T205I_8,35,1,2020-10-25
B.1.280_T205I_5,35,3,2020-10-25
B.1.3_D253G_10,35,2,2020-10-25
anc,36,57,2020-11-01
B.1.332_S13X_9,36,0,2020-11-01
B.1.2_T205I_10,36,1,2020-11-01
B.1.361_S13X_10,36,0,2020-11-01
B.1.110.3_K484E_3,36,1,2020-11-01
B.1.517_N501T_3,36,1,2020-11-01
B.1.433_T205I_12,36,1,2020-11-01
2lin_T205I_1,36,1,2020-11-01
B.1.1.70_S13X_7,36,0,2020-11-01
B.1.351_T205I_8,36,1,2020-11-01
B.1.280_T205I_5,36,1,2020-11-01
B.1.3_D253G_10,36,1,2020-11-01
anc,37,77,2020-11-08
B.1.332_S13X_9,37,0,2020-11-08
B.1.2_T205I_10,37,1,2020-11-08
B.1.361_S13X_10,37,0,2020-11-08
B.1.110.3_K484E_3,37,1,2020-11-08
B.1.517_N501T_3,37,5,2020-11-08
B.1.433_T205I_12,37,1,2020-11-08
2lin_T205I_1,37,1,2020-11-08
B.1.1.70_S13X_7,37,0,2020-11-08
B.1.351_T205I_8,37,1,2020-11-08
B.1.280_T205I_5,37,2,2020-11-08
B.1.3_D253G_10,37,1,2020-11-08
B.1.160_S477N_1,37,2,2020-11-08
P.2_E484K_12,37,2,2020-11-08
anc,38,64,2020-11-15
B.1.332_S13X_9,38,0,2020-11-15
B.1.2_T205I_10,38,1,2020-11-15
B.1.361_S13X_10,38,0,2020-11-15
B.1.110.3_K484E_3,38,3,2020-11-15
B.1.517_N501T_3,38,5,2020-11-15
B.1.433_T205I_12,38,1,2020-11-15
2lin_T205I_1,38,1,2020-11-15
B.1.1.70_S13X_7,38,0,2020-11-15
B.1.351_T205I_8,38,1,2020-11-15
B.1.280_T205I_5,38,3,2020-11-15
B.1.3_D253G_10,38,2,2020-11-15
B.1.160_S477N_1,38,2,2020-11-15
P.2_E484K_12,38,1,2020-11-15
B.1.240_S13X_3,38,2,2020-11-15
B.1_T205I_11,38,2,2020-11-15
anc,39,51,2020-11-22
B.1.332_S13X_9,39,0,2020-11-22
B.1.2_T205I_10,39,1,2020-11-22
B.1.361_S13X_10,39,0,2020-11-22
B.1.110.3_K484E_3,39,1,2020-11-22
B.1.517_N501T_3,39,1,2020-11-22
B.1.433_T205I_12,39,1,2020-11-22
2lin_T205I_1,39,1,2020-11-22
B.1.1.70_S13X_7,39,0,2020-11-22
B.1.351_T205I_8,39,1,2020-11-22
B.1.280_T205I_5,39,1,2020-11-22
B.1.3_D253G_10,39,0,2020-11-22
B.1.160_S477N_1,39,1,2020-11-22
P.2_E484K_12,39,1,2020-11-22
B.1.240_S13X_3,39,2,2020-11-22
B.1_T205I_11,39,1,2020-11-22
B.1.429_S13I_3,39,2,2020-11-22
B.1_T205I_16,39,2,2020-11-22
B.1.526_D253G_37,39,2,2020-11-22
anc,40,91,2020-11-29
B.1.332_S13X_9,40,0,2020-11-29
B.1.2_T205I_10,40,1,2020-11-29
B.1.361_S13X_10,40,0,2020-11-29
B.1.110.3_K484E_3,40,3,2020-11-29
B.1.517_N501T_3,40,4,2020-11-29
B.1.433_T205I_12,40,3,2020-11-29
2lin_T205I_1,40,1,2020-11-29
B.1.1.70_S13X_7,40,0,2020-11-29
B.1.351_T205I_8,40,1,2020-11-29
B.1.280_T205I_5,40,1,2020-11-29
B.1.3_D253G_10,40,0,2020-11-29
B.1.160_S477N_1,40,1,2020-11-29
P.2_E484K_12,40,1,2020-11-29
B.1.240_S13X_3,40,0,2020-11-29
B.1_T205I_11,40,1,2020-11-29
B.1.429_S13I_3,40,3,2020-11-29
B.1_T205I_16,40,2,2020-11-29
B.1.526_D253G_37,40,1,2020-11-29
B.1.1.247_N501T_2,40,2,2020-11-29
B.1_T205I_23,40,5,2020-11-29
anc,41,109,2020-12-06
B.1.332_S13X_9,41,0,2020-12-06
B.1.2_T205I_10,41,1,2020-12-06
B.1.361_S13X_10,41,0,2020-12-06
B.1.110.3_K484E_3,41,3,2020-12-06
B.1.517_N501T_3,41,6,2020-12-06
B.1.433_T205I_12,41,2,2020-12-06
2lin_T205I_1,41,1,2020-12-06
B.1.1.70_S13X_7,41,0,2020-12-06
B.1.351_T205I_8,41,1,2020-12-06
B.1.280_T205I_5,41,3,2020-12-06
B.1.3_D253G_10,41,0,2020-12-06
B.1.160_S477N_1,41,3,2020-12-06
P.2_E484K_12,41,1,2020-12-06
B.1.240_S13X_3,41,0,2020-12-06
B.1_T205I_11,41,3,2020-12-06
B.1.429_S13I_3,41,6,2020-12-06
B.1_T205I_16,41,1,2020-12-06
B.1.526_D253G_37,41,2,2020-12-06
B.1.1.247_N501T_2,41,2,2020-12-06
B.1_T205I_23,41,5,2020-12-06
B.1.1.64_S13X_5,41,2,2020-12-06
C.16_L452R_4,41,2,2020-12-06
B.1.526_S477N_11,41,2,2020-12-06
anc,42,87,2020-12-13
B.1.332_S13X_9,42,0,2020-12-13
B.1.2_T205I_10,42,1,2020-12-13
B.1.361_S13X_10,42,0,2020-12-13
B.1.110.3_K484E_3,42,2,2020-12-13
B.1.517_N501T_3,42,3,2020-12-13
B.1.433_T205I_12,42,4,2020-12-13
2lin_T205I_1,42,1,2020-12-13
B.1.1.70_S13X_7,42,0,2020-12-13
B.1.351_T205I_8,42,1,2020-12-13
B.1.280_T205I_5,42,2,2020-12-13
B.1.3_D253G_10,42,0,2020-12-13
B.1.160_S477N_1,42,0,2020-12-13
